TT,Mã HP,Số TC,Lớp học phần,Khóa học,Khóa tổ chức,Số SV dự kiến,Số SV đã ĐK,Hình thức học,Tuần học,Ngày BĐ,Ngày KT,Số tiết /tuần,Thứ,Tiết BĐ,Số tiết,Phòng học,Cơ sở đào tạo,Giáo Viên,Khoa/Viện
66,AET30014,3,Thực hành Động cơ đốt trong(224.2)_TH_03,K63,K63,15,0,TH/TN,32 -> 35,04/08/2025,04/29/2025,9,3,1,5,PTH_Diesel,Cơ sở 2,Nguyễn Phi Cường Anh,Kỹ thuật - Công nghệ
67,AET30014,3,Thực hành Động cơ đốt trong(224.2)_TH_03,K63,K63,15,0,TH/TN,32 -> 35,04/08/2025,04/29/2025,9,3,6,5,PTH_Diesel,Cơ sở 2,Nguyễn Phi Cường Anh,Kỹ thuật - Công nghệ
68,AET30014,3,Thực hành Động cơ đốt trong(224.2)_TH_03,K63,K63,15,0,TH/TN,32 -> 35,04/08/2025,04/29/2025,9,3,11,2,PTH_Diesel,Cơ sở 2,Nguyễn Phi Cường Anh,Kỹ thuật - Công nghệ
69,AET30014,3,Thực hành Động cơ đốt trong(224.2)_TH_03,K63,K63,15,0,TH/TN,32 -> 35,04/09/2025,04/30/2025,9,4,1,5,PTH_Diesel,Cơ sở 2,Nguyễn Phi Cường Anh,Kỹ thuật - Công nghệ
70,AET30014,3,Thực hành Động cơ đốt trong(224.2)_TH_03,K63,K63,15,0,TH/TN,32 -> 35,04/09/2025,04/30/2025,9,4,6,5,PTH_Diesel,Cơ sở 2,Nguyễn Phi Cường Anh,Kỹ thuật - Công nghệ
71,AET30014,3,Thực hành Động cơ đốt trong(224.2)_TH_03,K63,K63,15,0,TH/TN,32 -> 35,04/09/2025,04/30/2025,9,4,11,1,PTH_Diesel,Cơ sở 2,Nguyễn Phi Cường Anh,Kỹ thuật - Công nghệ
72,AET30014,3,Thực hành Động cơ đốt trong(224.2)_TH_04,K63,K63,15,0,TH/TN,36 -> 39,05/06/2025,05/27/2025,9,3,1,5,PTH_Diesel,Cơ sở 2,Nguyễn Phi Cường Anh,Kỹ thuật - Công nghệ
73,AET30014,3,Thực hành Động cơ đốt trong(224.2)_TH_04,K63,K63,15,0,TH/TN,36 -> 39,05/06/2025,05/27/2025,9,3,6,5,PTH_Diesel,Cơ sở 2,Nguyễn Phi Cường Anh,Kỹ thuật - Công nghệ
74,AET30014,3,Thực hành Động cơ đốt trong(224.2)_TH_04,K63,K63,15,0,TH/TN,36 -> 39,05/06/2025,05/27/2025,9,3,11,2,PTH_Diesel,Cơ sở 2,Nguyễn Phi Cường Anh,Kỹ thuật - Công nghệ
75,AET30014,3,Thực hành Động cơ đốt trong(224.2)_TH_04,K63,K63,15,0,TH/TN,36 -> 39,05/07/2025,05/28/2025,9,4,1,5,PTH_Diesel,Cơ sở 2,Nguyễn Phi Cường Anh,Kỹ thuật - Công nghệ
76,AET30014,3,Thực hành Động cơ đốt trong(224.2)_TH_04,K63,K63,15,0,TH/TN,36 -> 39,05/07/2025,05/28/2025,9,4,6,5,PTH_Diesel,Cơ sở 2,Nguyễn Phi Cường Anh,Kỹ thuật - Công nghệ
77,AET30014,3,Thực hành Động cơ đốt trong(224.2)_TH_04,K63,K63,15,0,TH/TN,36 -> 39,05/07/2025,05/28/2025,9,4,11,1,PTH_Diesel,Cơ sở 2,Nguyễn Phi Cường Anh,Kỹ thuật - Công nghệ
78,AET30014,3,Thực hành Động cơ đốt trong(224.2)_TH_05,K63,K63,15,0,TH/TN,23 -> 26,02/04/2025,02/25/2025,9,3,1,5,PTH_DC_XANG,Cơ sở 2,Phan Quốc Cường,Kỹ thuật - Công nghệ
79,AET30014,3,Thực hành Động cơ đốt trong(224.2)_TH_05,K63,K63,15,0,TH/TN,23 -> 26,02/04/2025,02/25/2025,9,3,6,5,PTH_DC_XANG,Cơ sở 2,Phan Quốc Cường,Kỹ thuật - Công nghệ
80,AET30014,3,Thực hành Động cơ đốt trong(224.2)_TH_05,K63,K63,15,0,TH/TN,23 -> 26,02/04/2025,02/25/2025,9,3,11,2,PTH_DC_XANG,Cơ sở 2,Phan Quốc Cường,Kỹ thuật - Công nghệ
81,AET30014,3,Thực hành Động cơ đốt trong(224.2)_TH_05,K63,K63,15,0,TH/TN,23 -> 26,02/05/2025,02/26/2025,9,4,1,5,PTH_DC_XANG,Cơ sở 2,Phan Quốc Cường,Kỹ thuật - Công nghệ
82,AET30014,3,Thực hành Động cơ đốt trong(224.2)_TH_05,K63,K63,15,0,TH/TN,23 -> 26,02/05/2025,02/26/2025,9,4,6,5,PTH_DC_XANG,Cơ sở 2,Phan Quốc Cường,Kỹ thuật - Công nghệ
83,AET30014,3,Thực hành Động cơ đốt trong(224.2)_TH_05,K63,K63,15,0,TH/TN,23 -> 26,02/05/2025,02/26/2025,9,4,11,1,PTH_DC_XANG,Cơ sở 2,Phan Quốc Cường,Kỹ thuật - Công nghệ
84,AET30014,3,Thực hành Động cơ đốt trong(224.2)_TH_06,K63,K63,15,0,TH/TN,"27 -> 29, 31",03/04/2025,04/01/2025,9,3,1,5,PTH_DC_XANG,Cơ sở 2,Phan Quốc Cường,Kỹ thuật - Công nghệ
85,AET30014,3,Thực hành Động cơ đốt trong(224.2)_TH_06,K63,K63,15,0,TH/TN,"27 -> 29, 31",03/04/2025,04/01/2025,9,3,6,5,PTH_DC_XANG,Cơ sở 2,Phan Quốc Cường,Kỹ thuật - Công nghệ
86,AET30014,3,Thực hành Động cơ đốt trong(224.2)_TH_06,K63,K63,15,0,TH/TN,"27 -> 29, 31",03/05/2025,04/02/2025,9,4,1,5,PTH_DC_XANG,Cơ sở 2,Phan Quốc Cường,Kỹ thuật - Công nghệ
87,AET30014,3,Thực hành Động cơ đốt trong(224.2)_TH_06,K63,K63,15,0,TH/TN,"27 -> 29, 31",03/04/2025,04/01/2025,9,3,11,2,PTH_DC_XANG,Cơ sở 2,Phan Quốc Cường,Kỹ thuật - Công nghệ
88,AET30014,3,Thực hành Động cơ đốt trong(224.2)_TH_06,K63,K63,15,0,TH/TN,"27 -> 29, 31",03/05/2025,04/02/2025,9,4,6,5,PTH_DC_XANG,Cơ sở 2,Phan Quốc Cường,Kỹ thuật - Công nghệ
89,AET30014,3,Thực hành Động cơ đốt trong(224.2)_TH_06,K63,K63,15,0,TH/TN,"27 -> 29, 31",03/05/2025,04/02/2025,9,4,11,1,PTH_DC_XANG,Cơ sở 2,Phan Quốc Cường,Kỹ thuật - Công nghệ
90,AET30014,3,Thực hành Động cơ đốt trong(224.2)_TH_07,K63,K63,15,0,TH/TN,32 -> 35,04/08/2025,04/29/2025,9,3,1,5,PTH_DC_XANG,Cơ sở 2,Phan Quốc Cường,Kỹ thuật - Công nghệ
91,AET30014,3,Thực hành Động cơ đốt trong(224.2)_TH_07,K63,K63,15,0,TH/TN,32 -> 35,04/08/2025,04/29/2025,9,3,6,5,PTH_DC_XANG,Cơ sở 2,Phan Quốc Cường,Kỹ thuật - Công nghệ
92,AET30014,3,Thực hành Động cơ đốt trong(224.2)_TH_07,K63,K63,15,0,TH/TN,32 -> 35,04/08/2025,04/29/2025,9,3,11,2,PTH_DC_XANG,Cơ sở 2,Phan Quốc Cường,Kỹ thuật - Công nghệ
93,AET30014,3,Thực hành Động cơ đốt trong(224.2)_TH_07,K63,K63,15,0,TH/TN,32 -> 35,04/09/2025,04/30/2025,9,4,1,5,PTH_DC_XANG,Cơ sở 2,Phan Quốc Cường,Kỹ thuật - Công nghệ
94,AET30014,3,Thực hành Động cơ đốt trong(224.2)_TH_07,K63,K63,15,0,TH/TN,32 -> 35,04/09/2025,04/30/2025,9,4,6,5,PTH_DC_XANG,Cơ sở 2,Phan Quốc Cường,Kỹ thuật - Công nghệ
95,AET30014,3,Thực hành Động cơ đốt trong(224.2)_TH_07,K63,K63,15,0,TH/TN,32 -> 35,04/09/2025,04/30/2025,9,4,11,1,PTH_DC_XANG,Cơ sở 2,Phan Quốc Cường,Kỹ thuật - Công nghệ
96,AET30014,3,Thực hành Động cơ đốt trong(224.2)_TH_08,K63,K63,15,0,TH/TN,36 -> 39,05/06/2025,05/27/2025,9,3,1,5,PTH_DC_XANG,Cơ sở 2,Phan Quốc Cường,Kỹ thuật - Công nghệ
97,AET30014,3,Thực hành Động cơ đốt trong(224.2)_TH_08,K63,K63,15,0,TH/TN,36 -> 39,05/06/2025,05/27/2025,9,3,6,5,PTH_DC_XANG,Cơ sở 2,Phan Quốc Cường,Kỹ thuật - Công nghệ
98,AET30014,3,Thực hành Động cơ đốt trong(224.2)_TH_08,K63,K63,15,0,TH/TN,36 -> 39,05/07/2025,05/28/2025,9,4,1,5,PTH_DC_XANG,Cơ sở 2,Phan Quốc Cường,Kỹ thuật - Công nghệ
99,AET30014,3,Thực hành Động cơ đốt trong(224.2)_TH_08,K63,K63,15,0,TH/TN,36 -> 39,05/07/2025,05/28/2025,9,4,6,5,PTH_DC_XANG,Cơ sở 2,Phan Quốc Cường,Kỹ thuật - Công nghệ
100,AET30014,3,Thực hành Động cơ đốt trong(224.2)_TH_08,K63,K63,15,0,TH/TN,36 -> 39,05/06/2025,05/27/2025,9,3,11,2,PTH_DC_XANG,Cơ sở 2,Phan Quốc Cường,Kỹ thuật - Công nghệ
101,AET30014,3,Thực hành Động cơ đốt trong(224.2)_TH_08,K63,K63,15,0,TH/TN,36 -> 39,05/07/2025,05/28/2025,9,4,11,1,PTH_DC_XANG,Cơ sở 2,Phan Quốc Cường,Kỹ thuật - Công nghệ
102,AET30048,3,Cấu tạo và nguyên lý ô tô(224.1)_LT_01,K64,K64,50,0,LT,"23 -> 29, 31 -> 38",02/03/2025,05/19/2025,3,2,3,3,A3 404,Cơ sở 1,Nguyễn Phi Cường Anh,Kỹ thuật - Công nghệ
103,AET30048,3,Cấu tạo và nguyên lý ô tô(224.1)_LT_02,K64,K64,50,0,LT,"23 -> 29, 31 -> 38",02/03/2025,05/19/2025,3,2,8,3,A3 404,Cơ sở 1,Nguyễn Phi Cường Anh,Kỹ thuật - Công nghệ
104,AET30049,3,"Vận hành trang thiết bị xưởng và quy trình bảo dưỡng, sửa chữa ô tô(224.1)_LT_01",K64,K64,50,0,LT,23,02/05/2025,02/05/2025,2,4,1,5,TH_CO_KHI,Cơ sở 2,Bùi Hà Phan,Kỹ thuật - Công nghệ
105,AET30049,3,"Vận hành trang thiết bị xưởng và quy trình bảo dưỡng, sửa chữa ô tô(224.1)_LT_01",K64,K64,50,0,LT,23,02/05/2025,02/05/2025,2,4,6,5,TH_CO_KHI,Cơ sở 2,Bùi Hà Phan,Kỹ thuật - Công nghệ
106,AET30049,3,"Vận hành trang thiết bị xưởng và quy trình bảo dưỡng, sửa chữa ô tô(224.1)_LT_01",K64,K64,50,0,LT,24,02/12/2025,02/12/2025,2,4,1,5,TH_CO_KHI,Cơ sở 2,Bùi Hà Phan,Kỹ thuật - Công nghệ
107,AET30049,3,"Vận hành trang thiết bị xưởng và quy trình bảo dưỡng, sửa chữa ô tô(224.1)_LT_01_TH_01",K64,K64,17,0,TH/TN,"25 -> 29, 31",02/19/2025,04/02/2025,5,4,1,5,TH_CO_KHI,Cơ sở 2,Bùi Hà Phan,Kỹ thuật - Công nghệ
108,AET30049,3,"Vận hành trang thiết bị xưởng và quy trình bảo dưỡng, sửa chữa ô tô(224.1)_LT_01_TH_01",K64,K64,17,0,TH/TN,"25 -> 29, 31",02/19/2025,04/02/2025,5,4,6,5,TH_CO_KHI,Cơ sở 2,Bùi Hà Phan,Kỹ thuật - Công nghệ
109,AET30049,3,"Vận hành trang thiết bị xưởng và quy trình bảo dưỡng, sửa chữa ô tô(224.1)_LT_01_TH_02",K64,K64,17,0,TH/TN,32 -> 37,04/09/2025,05/14/2025,5,4,1,5,TH_CO_KHI,Cơ sở 2,Bùi Hà Phan,Kỹ thuật - Công nghệ
110,AET30049,3,"Vận hành trang thiết bị xưởng và quy trình bảo dưỡng, sửa chữa ô tô(224.1)_LT_01_TH_02",K64,K64,17,0,TH/TN,32 -> 37,04/09/2025,05/14/2025,5,4,6,5,TH_CO_KHI,Cơ sở 2,Bùi Hà Phan,Kỹ thuật - Công nghệ
111,AET30049,3,"Vận hành trang thiết bị xưởng và quy trình bảo dưỡng, sửa chữa ô tô(224.1)_LT_01_TH_03",K64,K64,17,0,TH/TN,"25 -> 29, 31",02/19/2025,04/02/2025,5,4,1,5,P. TH Ð?ng co,Cơ sở 2,Phan Văn Nguyên,Kỹ thuật - Công nghệ
112,AET30049,3,"Vận hành trang thiết bị xưởng và quy trình bảo dưỡng, sửa chữa ô tô(224.1)_LT_01_TH_03",K64,K64,17,0,TH/TN,"25 -> 29, 31",02/19/2025,04/02/2025,5,4,6,5,P. TH Ð?ng co,Cơ sở 2,Phan Văn Nguyên,Kỹ thuật - Công nghệ
113,AET30049,3,"Vận hành trang thiết bị xưởng và quy trình bảo dưỡng, sửa chữa ô tô(224.1)_LT_02",K64,K64,50,0,LT,23,02/05/2025,02/05/2025,2,4,1,5,TH_CO_KHI_2,Cơ sở 2,Nguyễn Phúc Ngọc,Kỹ thuật - Công nghệ
114,AET30049,3,"Vận hành trang thiết bị xưởng và quy trình bảo dưỡng, sửa chữa ô tô(224.1)_LT_02",K64,K64,50,0,LT,23,02/05/2025,02/05/2025,2,4,6,5,TH_CO_KHI_2,Cơ sở 2,Nguyễn Phúc Ngọc,Kỹ thuật - Công nghệ
115,AET30049,3,"Vận hành trang thiết bị xưởng và quy trình bảo dưỡng, sửa chữa ô tô(224.1)_LT_02",K64,K64,50,0,LT,24,02/12/2025,02/12/2025,2,4,1,5,TH_CO_KHI_2,Cơ sở 2,Nguyễn Phúc Ngọc,Kỹ thuật - Công nghệ
116,AET30049,3,"Vận hành trang thiết bị xưởng và quy trình bảo dưỡng, sửa chữa ô tô(224.1)_LT_02_TH_01",K64,K64,17,0,TH/TN,"25 -> 29, 31",02/19/2025,04/02/2025,5,4,1,5,TH_CO_KHI_2,Cơ sở 2,Nguyễn Phúc Ngọc,Kỹ thuật - Công nghệ
117,AET30049,3,"Vận hành trang thiết bị xưởng và quy trình bảo dưỡng, sửa chữa ô tô(224.1)_LT_02_TH_01",K64,K64,17,0,TH/TN,"25 -> 29, 31",02/19/2025,04/02/2025,5,4,6,5,TH_CO_KHI_2,Cơ sở 2,Nguyễn Phúc Ngọc,Kỹ thuật - Công nghệ
118,AET30049,3,"Vận hành trang thiết bị xưởng và quy trình bảo dưỡng, sửa chữa ô tô(224.1)_LT_02_TH_02",K64,K64,17,0,TH/TN,32 -> 37,04/09/2025,05/14/2025,5,4,1,5,TH_CO_KHI_2,Cơ sở 2,Nguyễn Phúc Ngọc,Kỹ thuật - Công nghệ
119,AET30049,3,"Vận hành trang thiết bị xưởng và quy trình bảo dưỡng, sửa chữa ô tô(224.1)_LT_02_TH_02",K64,K64,17,0,TH/TN,32 -> 37,04/09/2025,05/14/2025,5,4,6,5,TH_CO_KHI_2,Cơ sở 2,Nguyễn Phúc Ngọc,Kỹ thuật - Công nghệ
120,AET30049,3,"Vận hành trang thiết bị xưởng và quy trình bảo dưỡng, sửa chữa ô tô(224.1)_LT_02_TH_03",K64,K64,17,0,TH/TN,32 -> 37,04/09/2025,05/14/2025,5,4,1,5,P. TH Ð?ng co,Cơ sở 2,Phan Văn Nguyên,Kỹ thuật - Công nghệ
121,AET30049,3,"Vận hành trang thiết bị xưởng và quy trình bảo dưỡng, sửa chữa ô tô(224.1)_LT_02_TH_03",K64,K64,17,0,TH/TN,32 -> 37,04/09/2025,05/14/2025,5,4,6,5,P. TH Ð?ng co,Cơ sở 2,Phan Văn Nguyên,Kỹ thuật - Công nghệ
122,AET30050,3,"Kỹ thuật điều khiển thủy lực, khí nén trên ô tô(224.1)_LT_01",K64,K64,50,0,LT,"23 -> 29, 31 -> 38",02/04/2025,05/20/2025,3,3,8,3,D3.101,Cơ sở 1,Nguyễn Văn Phú,Kỹ thuật - Công nghệ
123,AET30050,3,"Kỹ thuật điều khiển thủy lực, khí nén trên ô tô(224.1)_LT_02",K64,K64,50,0,LT,"23 -> 29, 31 -> 38",02/09/2025,05/25/2025,3,8,8,3,B1 302,Cơ sở 1,Nguyễn Văn Phú,Kỹ thuật - Công nghệ
124,AET30056,4,Thực tập Hệ thống điều hòa không khí ô tô(224.1)_DAMH_01_TH_01,K63,K63,14,0,TH/TN,23 -> 27,02/06/2025,03/06/2025,10,5,1,5,P_TH_Điện,Cơ sở 2,Trịnh Ngọc Hoàng,Kỹ thuật - Công nghệ
125,AET30056,4,Thực tập Hệ thống điều hòa không khí ô tô(224.1)_DAMH_01_TH_01,K63,K63,14,0,TH/TN,23 -> 27,02/06/2025,03/06/2025,10,5,6,5,P_TH_Điện,Cơ sở 2,Trịnh Ngọc Hoàng,Kỹ thuật - Công nghệ
126,AET30056,4,Thực tập Hệ thống điều hòa không khí ô tô(224.1)_DAMH_01_TH_01,K63,K63,14,0,TH/TN,23 -> 26,02/07/2025,02/28/2025,10,6,1,5,P_TH_Điện,Cơ sở 2,Trịnh Ngọc Hoàng,Kỹ thuật - Công nghệ
127,AET30056,4,Thực tập Hệ thống điều hòa không khí ô tô(224.1)_DAMH_01_TH_01,K63,K63,14,0,TH/TN,23 -> 26,02/07/2025,02/28/2025,10,6,6,5,P_TH_Điện,Cơ sở 2,Trịnh Ngọc Hoàng,Kỹ thuật - Công nghệ
128,AET30056,4,Thực tập Hệ thống điều hòa không khí ô tô(224.1)_DAMH_01_TH_02,K63,K63,14,0,TH/TN,"28, 29, 31, 32",03/13/2025,04/10/2025,10,5,1,5,P_TH_Điện,Cơ sở 2,Trịnh Ngọc Hoàng,Kỹ thuật - Công nghệ
129,AET30056,4,Thực tập Hệ thống điều hòa không khí ô tô(224.1)_DAMH_01_TH_02,K63,K63,14,0,TH/TN,"28, 29, 31, 32",03/13/2025,04/10/2025,10,5,6,5,P_TH_Điện,Cơ sở 2,Trịnh Ngọc Hoàng,Kỹ thuật - Công nghệ
130,AET30056,4,Thực tập Hệ thống điều hòa không khí ô tô(224.1)_DAMH_01_TH_02,K63,K63,14,0,TH/TN,"27 -> 29, 31, 32",03/07/2025,04/11/2025,10,6,1,5,P_TH_Điện,Cơ sở 2,Trịnh Ngọc Hoàng,Kỹ thuật - Công nghệ
131,AET30056,4,Thực tập Hệ thống điều hòa không khí ô tô(224.1)_DAMH_01_TH_02,K63,K63,14,0,TH/TN,"27 -> 29, 31, 32",03/07/2025,04/11/2025,10,6,6,5,P_TH_Điện,Cơ sở 2,Trịnh Ngọc Hoàng,Kỹ thuật - Công nghệ
132,AET30056,4,Thực tập Hệ thống điều hòa không khí ô tô(224.1)_DAMH_01_TH_03,K63,K63,14,0,TH/TN,33 -> 37,04/17/2025,05/15/2025,10,5,1,5,P_TH_Điện,Cơ sở 2,Trịnh Ngọc Hoàng,Kỹ thuật - Công nghệ
133,AET30056,4,Thực tập Hệ thống điều hòa không khí ô tô(224.1)_DAMH_01_TH_03,K63,K63,14,0,TH/TN,33 -> 37,04/17/2025,05/15/2025,10,5,6,5,P_TH_Điện,Cơ sở 2,Trịnh Ngọc Hoàng,Kỹ thuật - Công nghệ
134,AET30056,4,Thực tập Hệ thống điều hòa không khí ô tô(224.1)_DAMH_01_TH_03,K63,K63,14,0,TH/TN,33 -> 36,04/18/2025,05/09/2025,10,6,1,5,P_TH_Điện,Cơ sở 2,Trịnh Ngọc Hoàng,Kỹ thuật - Công nghệ
135,AET30056,4,Thực tập Hệ thống điều hòa không khí ô tô(224.1)_DAMH_01_TH_03,K63,K63,14,0,TH/TN,33 -> 36,04/18/2025,05/09/2025,10,6,6,5,P_TH_Điện,Cơ sở 2,Trịnh Ngọc Hoàng,Kỹ thuật - Công nghệ
136,AET30056,4,Thực tập Hệ thống điều hòa không khí ô tô(224.1)_DAMH_02_TH_04,K63,K63,14,0,TH/TN,23 -> 27,02/06/2025,03/06/2025,10,5,1,5,P_TH_DIEUHOA,Cơ sở 2,Đặng Đình Thành,Kỹ thuật - Công nghệ
137,AET30056,4,Thực tập Hệ thống điều hòa không khí ô tô(224.1)_DAMH_02_TH_04,K63,K63,14,0,TH/TN,23 -> 27,02/06/2025,03/06/2025,10,5,6,5,P_TH_DIEUHOA,Cơ sở 2,Đặng Đình Thành,Kỹ thuật - Công nghệ
138,AET30056,4,Thực tập Hệ thống điều hòa không khí ô tô(224.1)_DAMH_02_TH_04,K63,K63,14,0,TH/TN,23 -> 26,02/07/2025,02/28/2025,10,6,1,5,P_TH_DIEUHOA,Cơ sở 2,Đặng Đình Thành,Kỹ thuật - Công nghệ
139,AET30056,4,Thực tập Hệ thống điều hòa không khí ô tô(224.1)_DAMH_02_TH_04,K63,K63,14,0,TH/TN,23 -> 26,02/07/2025,02/28/2025,10,6,6,5,P_TH_DIEUHOA,Cơ sở 2,Đặng Đình Thành,Kỹ thuật - Công nghệ
140,AET30056,4,Thực tập Hệ thống điều hòa không khí ô tô(224.1)_DAMH_02_TH_05,K63,K63,14,0,TH/TN,"28, 29, 31, 32",03/13/2025,04/10/2025,10,5,1,5,P_TH_DIEUHOA,Cơ sở 2,Đặng Đình Thành,Kỹ thuật - Công nghệ
141,AET30056,4,Thực tập Hệ thống điều hòa không khí ô tô(224.1)_DAMH_02_TH_05,K63,K63,14,0,TH/TN,"28, 29, 31, 32",03/13/2025,04/10/2025,10,5,6,5,P_TH_DIEUHOA,Cơ sở 2,Đặng Đình Thành,Kỹ thuật - Công nghệ
142,AET30056,4,Thực tập Hệ thống điều hòa không khí ô tô(224.1)_DAMH_02_TH_05,K63,K63,14,0,TH/TN,"27 -> 29, 31, 32",03/07/2025,04/11/2025,10,6,1,5,P_TH_DIEUHOA,Cơ sở 2,Đặng Đình Thành,Kỹ thuật - Công nghệ
143,AET30056,4,Thực tập Hệ thống điều hòa không khí ô tô(224.1)_DAMH_02_TH_05,K63,K63,14,0,TH/TN,"27 -> 29, 31, 32",03/07/2025,04/11/2025,10,6,6,5,P_TH_DIEUHOA,Cơ sở 2,Đặng Đình Thành,Kỹ thuật - Công nghệ
144,AET30056,4,Thực tập Hệ thống điều hòa không khí ô tô(224.1)_DAMH_02_TH_06,K63,K63,14,0,TH/TN,33 -> 37,04/17/2025,05/15/2025,10,5,1,5,P_TH_DIEUHOA,Cơ sở 2,Đặng Đình Thành,Kỹ thuật - Công nghệ
145,AET30056,4,Thực tập Hệ thống điều hòa không khí ô tô(224.1)_DAMH_02_TH_06,K63,K63,14,0,TH/TN,33 -> 37,04/17/2025,05/15/2025,10,5,6,5,P_TH_DIEUHOA,Cơ sở 2,Đặng Đình Thành,Kỹ thuật - Công nghệ
146,AET30056,4,Thực tập Hệ thống điều hòa không khí ô tô(224.1)_DAMH_02_TH_06,K63,K63,14,0,TH/TN,33 -> 36,04/18/2025,05/09/2025,10,6,1,5,P_TH_DIEUHOA,Cơ sở 2,Đặng Đình Thành,Kỹ thuật - Công nghệ
147,AET30056,4,Thực tập Hệ thống điều hòa không khí ô tô(224.1)_DAMH_02_TH_06,K63,K63,14,0,TH/TN,33 -> 36,04/18/2025,05/09/2025,10,6,6,5,P_TH_DIEUHOA,Cơ sở 2,Đặng Đình Thành,Kỹ thuật - Công nghệ
148,AET30056,4,Thực tập Hệ thống điều hòa không khí ô tô(224.1)_DAMH_03_TH_07,K63,K63,14,0,TH/TN,23 -> 27,02/06/2025,03/06/2025,10,5,1,5,P. TH Ch?n doán,Cơ sở 2,Nguyễn Phi Cường Anh,Kỹ thuật - Công nghệ
149,AET30056,4,Thực tập Hệ thống điều hòa không khí ô tô(224.1)_DAMH_03_TH_07,K63,K63,14,0,TH/TN,23 -> 27,02/06/2025,03/06/2025,10,5,6,5,P. TH Ch?n doán,Cơ sở 2,Nguyễn Phi Cường Anh,Kỹ thuật - Công nghệ
150,AET30056,4,Thực tập Hệ thống điều hòa không khí ô tô(224.1)_DAMH_03_TH_07,K63,K63,14,0,TH/TN,23 -> 26,02/07/2025,02/28/2025,10,6,1,5,P. TH Ch?n doán,Cơ sở 2,Nguyễn Phi Cường Anh,Kỹ thuật - Công nghệ
